"","source","id","type","date","year","decade","lat","lon","COMMENTS","FS_UNIT_ID","OBJECTID","COMMON_NAM","SCIENTIFIC","TAXA_LEVEL","CLASS_NAME","TOTAL_DETE","GROUP_TYPE","LIFE_HISTO","LIFE_STAGE","REPRO_STAT","SURVEY_OBS","DATE_TIME_","DATE_TIME1","OBS_TYPE","OBS_METHOD","OBS_METH_1","OBS_METH_2","OBSERVER_N","DATA_ORIGI","SURVEY_YEA","PROTOCOL_N","REFERENCE","LOCAL_ID","FIELD_LOCA","FED_STATUS","FS_STATUS","NATURESERV","STATE_STAT","FED_STAT_1","FS_STATUS_","NATURESE_1","STATE_ST_1","LAST_UPDAT","LAST_UPD_1","BA_SOURCE","SOURCE_GEO","SOURCE_G_1","TSN","GIS_ACRES","GIS_MILES","TIME_INTER","DISTANCE_B","EXACT_DIST","FS_UNIT_NA","DATA_SOURC","OBS_CN","SURVEY_CN","CMN_VST_CN","SPATIAL_ID","SHAPE_AREA","SHAPE_LEN"
"31","NRM","NRM31","sighting",1991-05-29,1991,"1990s",42.32201906,-122.315463,"View Scale at Data Entry 1:18971;
",610,3403791,"North American Porcupine","Erethizon dorsatum","Species","Mammals",1,"Single",NA,NA,"Unknown","5/29/1991","N","Day",NA,NA,"Visual","The animal was detected by seeing it.","(MIGRATED), PHIL COLVARD (Experienced)","Forest Service",0,NA,NA,"281",100,NA,NA,NA,NA,NA,NA,NA,NA,"6/5/2008",18991230,"WL","Point",0,180393,0.077,0.039,NA,NA,0,"ROGUE RIVER-SISKIYOU NATIONAL FORESTS",NA,"FNAOBPT42.3221122.314308112005608596",NA,NA,"00042032211220314308112005608596",3.409e-08,0.00067747905
"32","NRM","NRM32","sighting",1979-02-26,1979,"1970s",44.32663516,-122.5270036,"Owner R06F18D03A; SiteID 559497 VisitNo 1;  Activity? Y; Protocol Met? ;      Owner USFS;TRS: 14S 2E 26 Qtr16: ;Remarks:",618,3461422,"North American Porcupine","Erethizon dorsatum","Species","Mammals",1,"Unknown",NA,NA,"Unknown","2/26/1979","N","Day",NA,NA,"Visual","The animal was detected by seeing it.","(MIGRATED), FRANK HUGENBERGER (Unknown)","Forest Service",0,NA,NA,NA,300,NA,NA,NA,NA,NA,NA,NA,NA,"2/24/2005",18991230,"WL","Point",0,180393,0.077,0.039,NA,NA,0,"WILLAMETTE NATIONAL FOREST",NA,"FNAOBPT00537809490806281263879004771",NA,NA,"00000537809490806281263879004771",3.522e-08,0.00069221769
"33","NRM","NRM33","sighting",1991-05-02,1991,"1990s",48.40207732,-117.5787352,"Species Condition is Healthy;  Owner R06F21A; SiteID 569338 VisitNo 1;  Activity? Y; Protocol Met? ; Site Status is Active;     Owner USFS;TRS: 34N 41E 36 Qtr16: NESE;Remarks: Road #9545",621,3479968,"North American Porcupine","Erethizon dorsatum","Species","Mammals",1,"Unknown",NA,NA,"Unknown","5/2/1991","N","Day",NA,NA,"Visual","The animal was detected by seeing it.","PRICE, SCOTT (Experienced)","Forest Service",0,NA,NA,NA,300,NA,NA,NA,NA,NA,NA,NA,NA,"8/10/2011",18991230,"WL","Point",0,180393,0.077,0.039,NA,NA,0,"COLVILLE NATIONAL FOREST",NA,"FNAOBPT00457243536094477063981000930",NA,NA,"00000457243536094477063981000930",3.791e-08,0.00072663752
"34","NRM","NRM34","sighting",1994-05-04,1994,"1990s",46.38380674,-121.8125483,"WL XFER 594046 Foraging along McCoy Ck near confluence of Kidd and McCoy Cks.Owner R06F03D05A; SiteID 3405 VisitNo 1; Visit Purpose is General Survey Visit; Activity? ; Protocol Met? ;      Elev 2000 ft;Owner USFS;TRS: 10N 08E 4 Qtr16: SENE;Special Veg",603,4326770,"North American Porcupine","Erethizon dorsatum","Species","Mammals",1,"Unknown",NA,NA,"Unknown","5/4/1994","N","Day",NA,NA,"Visual","The animal was detected by seeing it.","(MIGRATED), WL XFER 594046 DINKELMAN (Unknown)","Forest Service",0,NA,NA,NA,400,NA,NA,NA,NA,NA,NA,NA,NA,"7/16/2004",18991230,"WL","Point",0,180393,0.077,0.039,NA,NA,0,"GIFFORD PINCHOT NATIONAL FOREST",NA,"FNAOBPT00591403513717984233137004210",NA,NA,"00000591403513717984233137004210",3.65e-08,0.00070880196
"35","NRM","NRM35","sighting",1990-05-15,1990,"1990s",42.56882884,-122.1783737,"Species Condition is Dead;  Owner R06F20A; SiteID 1622 VisitNo 1;  Activity? Y; Protocol Met? ;  Habitat is Mixed Coniferous Forest (SW) (102);    Owner ;TRS: 34S 05E 36 Qtr16: ;Remarks:",602,3364801,"North American Porcupine","Erethizon dorsatum","Species","Mammals",1,"Unknown",NA,NA,"Unknown","5/15/1990","N","Exact",NA,NA,"Visual","The animal was detected by seeing it.","(MIGRATED), MENANNO (Unknown)","Forest Service",0,NA,NA,NA,400,NA,NA,NA,NA,NA,NA,NA,NA,"6/5/2008",18991230,"WL","Point",0,180393,0.077,0.039,NA,NA,0,"FREMONT-WINEMA NATIONAL FORESTS",NA,"FNAOBPT00567530471306585262326001371",NA,NA,"00000567530471306585262326001371",3.422e-08,0.00067922127
"36","NRM","NRM36","sighting",1994-05-06,1994,"1990s",45.82791313,-121.6779728,"WL XFER 394075 NONEOwner R06F03D03A; SiteID 1510 VisitNo 1; Visit Purpose is General Survey Visit; Activity? ; Protocol Met? ;   Seral stage is schrubs dominant 4-15 yr., Trees may be common <10 ft;   Elev 1720 ft;Owner USFS;TRS: 04N 09E 16 Qtr16: SWSE",603,3377494,"North American Porcupine","Erethizon dorsatum","Species","Mammals",1,"Unknown",NA,NA,"Unknown","5/6/1994","N","Exact",NA,NA,"Visual","The animal was detected by seeing it.","(MIGRATED), WL XFER 394075 CATHY FLICK (Experienced)","Forest Service",0,NA,NA,NA,400,NA,NA,NA,NA,NA,NA,NA,NA,"7/16/2004",18991230,"WL","Point",0,180393,0.077,0.039,NA,NA,0,"GIFFORD PINCHOT NATIONAL FOREST",NA,"FNAOBPT00602779507557984233137001315",NA,NA,"00000602779507557984233137001315",3.614e-08,0.00070416691
"37","NRM","NRM37","other",1969-09-14,1969,"1960s",45.03279695,-121.8785755,"Species Condition is Unknown;  Owner R06F06D05A; SiteID 73802 VisitNo 1;  Activity? ; Protocol Met? ;      Owner ;TRS: 6S 8E 19 Qtr16: ;",606,3390138,"North American Porcupine","Erethizon dorsatum","Species","Mammals",1,"Unknown",NA,NA,"Unknown","9/14/1969","N","Day",NA,NA,"Other","Evidence of the animal was detected by means other than those above (e.g. hair snare, track plate, antler rub, etc).  Describe in comments.","(MIGRATED), DG (Unknown)","Forest Service",0,NA,NA,NA,400,NA,NA,NA,NA,NA,NA,NA,NA,"6/6/2008",18991230,"WL","Point",0,180393,0.077,0.039,NA,NA,0,"MT HOOD NATIONAL FOREST",NA,"FNAOBPT00588431498700784816863003792",NA,NA,"00000588431498700784816863003792",3.564e-08,0.00069773689
"38","NRM","NRM38","sighting",1994-05-25,1994,"1990s",44.52732339,-120.5759113,"Species Condition is Healthy;  Owner R06F07D03A; SiteID 648 VisitNo 1;  Activity? Y; Protocol Met? ;  Habitat is Riparian (listed in 101 and 103);    Owner USFS;TRS: 12S 18E 16 Qtr16: ;Remarks: trout Creek Riparian",607,3397892,"North American Porcupine","Erethizon dorsatum","Species","Mammals",1,"Unknown",NA,NA,"Unknown","5/25/1994","N","Day",NA,NA,"Visual","The animal was detected by seeing it.","(MIGRATED), A.FLOCK (Limited Experience)","Forest Service",0,NA,NA,NA,150,NA,NA,NA,NA,NA,NA,NA,NA,"6/5/2008",18991230,"WL","Point",0,180393,0.077,0.039,NA,NA,0,"OCHOCO NATIONAL FOREST",NA,"FNAOBPT00692715493310485423816001005",NA,NA,"00000692715493310485423816001005",3.534e-08,0.00069376787
"39","NRM","NRM39","sighting",1997-01-13,1997,"1990s",44.48948336,-121.0462065,NA,607,3398681,"North American Porcupine","Erethizon dorsatum","Species","Mammals",1,"Single",NA,NA,"Unknown","1/13/1997","N","Day",NA,NA,"Visual","The animal was detected by seeing it.","(MIGRATED), USFS EMPLOYEE (Unknown)","Forest Service",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"9/8/2010",18991230,"WL","Point",0,180393,0.077,0.039,NA,NA,0,"OCHOCO NATIONAL FOREST",NA,"ceec9e60-9357-4823-b585-93737298e05b",NA,NA,"05db7b6e-8046-45d2-b532-fcac04c039c3",3.531e-08,0.00069347479
"40","NRM","NRM40","sighting",1991-05-29,1991,"1990s",42.32201906,-122.315463,"Species Condition is Healthy; IdentMark is None; Owner R06F10D02A; SiteID 281 VisitNo 1;  Activity? Y; Protocol Met? ;      Owner ;TRS: 37S 4E 26 Qtr16: SE;Remarks: PLANTATION",610,3402822,"North American Porcupine","Erethizon dorsatum","Species","Mammals",1,"Unknown",NA,NA,"Unknown","5/29/1991","N","Day",NA,NA,"Visual","The animal was detected by seeing it.","(MIGRATED), COWARD/BROWN (Experienced)","Forest Service",0,NA,NA,NA,150,NA,NA,NA,NA,NA,NA,NA,NA,"6/5/2008",18991230,"WL","Point",0,180393,0.077,0.039,NA,NA,0,"ROGUE RIVER-SISKIYOU NATIONAL FORESTS",NA,"FNAOBPT00556500468556083955246000053",NA,NA,"00000556500468556083955246000053",3.409e-08,0.00067747905
"41","NRM","NRM41","other",1980-07-01,1980,"1980s",42.7874756,-123.888214,"IN DRY REPROD BELOW CLEARCUT.Owner R06F11A; SiteID 50662 VisitNo 50662;  Activity? Y; Protocol Met? ;  Habitat is Mixed Coniferous Forest (SW) (102); Seral Stage is closed sapling/ pole/ sawtimber stand condition, 31-120 yrs;   Elev 2434 ft;Owner USFS;",610,3408008,"North American Porcupine","Erethizon dorsatum","Species","Mammals",1,"Unknown",NA,NA,"Unknown","7/1/1980","N","Exact",NA,NA,"Other","Evidence of the animal was detected by means other than those above (e.g. hair snare, track plate, antler rub, etc).  Describe in comments.","(MIGRATED), R.TURNER (Unknown)","Forest Service",0,NA,NA,NA,900,NA,NA,NA,NA,NA,NA,NA,NA,"6/5/2008",18991230,"WL","Point",0,180393,0.077,0.039,NA,NA,0,"ROGUE RIVER-SISKIYOU NATIONAL FORESTS",NA,"FNAOBPT00427450473740082483334012718",NA,NA,"00000427450473740082483334012718",3.434e-08,0.00068078132
"42","NRM","NRM42","sign",2004-05-26,2004,"2000s",44.99455971,-118.9724428,"DXDS_CN: 14902 CMN_OBS_CN_LINK: obsTWI213033002280",614,3442129,"North American Porcupine","Erethizon dorsatum","Species","Mammals",1,"Unknown",NA,NA,"Unknown","5/26/2004","N","Exact",NA,NA,"Excrement","Evidence of the animal was found in the form of excrement; scat, regurgitated pellets, etc.","DENNY, MIKE (Experienced)","Forest Service",0,NA,NA,"2130330",0,NA,NA,NA,NA,NA,NA,NA,NA,"8/31/2011",18991230,"WL","Point",0,180393,0.077,0.039,NA,NA,0,"UMATILLA NATIONAL FOREST",NA,"40aa8b1f-c701-4f0f-8b29-21730ebd196c",NA,"c484927e-3a2e-468b-b077-6f03af55ae32","5565AA99699C00001E8F15AD3C061AEB",3.562e-08,0.00069743444
"43","NRM","NRM43","sighting",2017-09-06,2017,"2010s",45.3316927,-121.9158259,"Hiding in brush in old ditch. Seen from about 4 ft away.",606,4447570,"New World Porcupines","Erethizontidae","Family","Mammals",1,"Single",NA,NA,"Unknown","9/6/2017","N","Exact",NA,NA,"Visual","The animal was detected by seeing it.","DILLON, CATHERINE (No Experience)","Forest Service",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"9/28/2017",18991230,"WL","Point",0,180391,0.077,0.039,NA,"0-25",0,"MT HOOD NATIONAL FOREST",0,"80697303-aa4e-45ed-98ad-635bba54381d",NA,NA,"564341c0-c028-47c3-bba5-d201ac55f78e",3.583e-08,0.00070012814
"44","NRM","NRM44","other",1997-07-29,1997,"1990s",43.46660593,-122.0892785,"LARGE (3.5' NOSE TO TAIL) PORCUPINE CLIMBED 7"" DBH LP AS I APPROACHEDOwner R06F01D02A; SiteID 1213 VisitNo 1;  Activity? Y; Protocol Met? ;      Owner ;TRS: 24 5.5 26 Qtr16: NESW;Remarks:",601,3352992,"North American Porcupine","Erethizon dorsatum","Species","Mammals",1,"Unknown",NA,NA,"Unknown","7/29/1997","N","Day",NA,NA,"Other","Evidence of the animal was detected by means other than those above (e.g. hair snare, track plate, antler rub, etc).  Describe in comments.","(MIGRATED), UNKNOWN (Experienced)","Forest Service",0,NA,NA,NA,400,NA,NA,NA,NA,NA,NA,NA,NA,"5/22/2008",18991230,"WL","Point",0,180393,0.077,0.039,NA,NA,0,"DESCHUTES NATIONAL FOREST",NA,"FNAOBPT00573761481283881984622000870",NA,NA,"00000573761481283881984622000870",3.472e-08,0.00068572805
"45","NRM","NRM45","sighting",1994-05-20,1994,"1990s",42.72572906,-122.075054,"Species Condition is Dead;  Owner R06F20A; SiteID 834 VisitNo 1;  Activity? Y; Protocol Met? ;  Habitat is Mixed Coniferous Forest (SW) (102);    Owner ;TRS: 33S 06E 12 Qtr16: ;Remarks: crossing rd 3200.",602,3365710,"North American Porcupine","Erethizon dorsatum","Species","Mammals",1,"Unknown",NA,NA,"Unknown","5/20/1994","N","Exact",NA,NA,"Visual","The animal was detected by seeing it.","(MIGRATED), SID HIGH (Experienced)","Forest Service",0,NA,NA,NA,400,NA,NA,NA,NA,NA,NA,NA,NA,"6/5/2008",18991230,"WL","Point",0,180393,0.077,0.039,NA,NA,0,"FREMONT-WINEMA NATIONAL FORESTS",NA,"FNAOBPT00575820473057585262326000715",NA,NA,"00000575820473057585262326000715",3.431e-08,0.00068033752
"46","NRM","NRM46","camera",2015-06-10,2015,"2010s",44.6167199,-118.669267,NA,604,3383615,"North American Porcupine","Erethizon dorsatum","Species","Mammals",1,"Single",NA,NA,"Unknown","6/10/2015","N","Exact",NA,NA,"Camera Set","The animal was detected by remotely triggered photography or videography.","TRAIL CAMERA, BMRD (Unknown)","Forest Service",0,NA,NA,"BM4060315 TrlCam",0,NA,NA,NA,NA,NA,NA,NA,NA,"3/24/2016",18991230,"WL","Point",0,180393,0.077,0.039,NA,NA,0,"MALHEUR NATIONAL FOREST",2,"8ba6ef89-a432-424d-82e7-e51f33d8f212",NA,"ecf4e417-5599-4218-bdd4-9181ab355c3f","0faaf267-6895-4e65-b9ba-6dee9a4ed277",3.539e-08,0.00069446351
"47","NRM","NRM47","sighting",2014-09-15,2014,"2010s",43.93669498,-119.1879268,NA,604,3383654,"North American Porcupine","Erethizon dorsatum","Species","Mammals",1,"Single",NA,NA,"Unknown","9/15/2014","N","Exact",NA,NA,"Visual","The animal was detected by seeing it.","MCKINLEY, LILLIAN (Experienced)","Forest Service",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"2/11/2015",18991230,"WL","Point",0,180393,0.077,0.039,NA,NA,0,"MALHEUR NATIONAL FOREST",2,"46db6116-e7a1-4e00-9f62-e93be83f126f",NA,NA,"729e53bc-0862-43f5-86f6-3b8d336755d6",3.499e-08,0.00068924414
"48","NRM","NRM48","other",1979-03-15,1979,"1970s",42.76027445,-124.0185942,"FEEDING IN ALDER.Owner R06F11A; SiteID 50665 VisitNo 50665;  Activity? Y; Protocol Met? ;  Habitat is Mixed Coniferous Forest (SW) (102); Seral Stage open sapling/pole stand condition,16-30 yrs shrub understory common;   Elev 3159 ft;Owner USFS;Plan Ar",610,3409037,"North American Porcupine","Erethizon dorsatum","Species","Mammals",1,"Unknown",NA,NA,"Unknown","3/15/1979","N","Exact",NA,NA,"Other","Evidence of the animal was detected by means other than those above (e.g. hair snare, track plate, antler rub, etc).  Describe in comments.","(MIGRATED), J.DEDERICK/G.PATTON (Unknown)","Forest Service",0,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,"6/5/2008",18991230,"WL","Point",0,180393,0.077,0.039,NA,NA,0,"ROGUE RIVER-SISKIYOU NATIONAL FORESTS",NA,"FNAOBPT00416750473450082483334012721",NA,NA,"00000416750473450082483334012721",3.433e-08,0.00068058598
"49","NRM","NRM49","camera",2011-01-09,2011,"2010s",43.34695515,-122.0719019,NA,615,3438328,"North American Porcupine","Erethizon dorsatum","Species","Mammals",1,"Single",NA,NA,"Unknown","1/9/2011","N","Day",NA,NA,"Camera Set","The animal was detected by remotely triggered photography or videography.","VEALE, EMILY (Limited Experience)","Forest Service",0,NA,"FY11 Carnivore Monitoring","DLRD Station 5",0,NA,NA,NA,NA,NA,NA,NA,NA,"1/16/2013",18991230,"WL","Point",0,180393,0.077,0.039,NA,NA,0,"UMPQUA NATIONAL FOREST",0,"60597260-6581-4a34-a1e2-bb97842b8ef9",NA,"cfdd9eaf-8ff5-49f6-86d6-d9aba93b5365","1b0f2a3c-8de7-40d2-9bb4-de35318053d4",3.465e-08,0.00068484593
"50","NRM","NRM50","sign",2004-08-12,2004,"2000s",45.92424515,-117.6351596,"Scat and Tracks DXDS_CN: 14902 CMN_OBS_CN_LINK: obsTWI217040203279",614,3439989,"North American Porcupine","Erethizon dorsatum","Species","Mammals",1,"Unknown",NA,NA,"Unknown","8/12/2004","N","Exact",NA,NA,"Track","Evidence of the animal was found in the form of a track  (e.g. foot print, drag pattern of a body part, etc).","DENNY, MIKE (Experienced)","Forest Service",0,NA,NA,"2170402",0,NA,NA,NA,NA,NA,NA,NA,NA,"8/31/2011",18991230,"WL","Point",0,180393,0.077,0.039,NA,NA,0,"UMATILLA NATIONAL FOREST",NA,"613c124b-3e88-4583-a8fa-50eceacf0c80",NA,"db1b0d10-7397-4d47-b4ab-e3696cee8098","5565AA99699C00001E8F15AD1A02F94F",3.62e-08,0.00070496196
"51","NRM","NRM51","sighting",1997-09-24,1997,"1990s",44.40921603,-122.0561726,"Species Condition is Dead;  ROAD-KILLSpecies Condition is Dead;  ROAD-KILLOwner R06F18D03A; SiteID 559690 VisitNo 1;  Activity? Y; Protocol Met? ;      Elev 3100 ft;Owner USFS;TRS: 13S 6E 26 Qtr16: NWSE;Plan Area: 5A Acres Remarks: JCT OF HWY 20 AND TOAD",618,3465186,"North American Porcupine","Erethizon dorsatum","Species","Mammals",1,"Unknown",NA,NA,"Unknown","9/24/1997","N","Day",NA,NA,"Visual","The animal was detected by seeing it.","(MIGRATED), M.ARAKI (Experienced)","Forest Service",0,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,"2/24/2005",18991230,"WL","Point",0,180393,0.077,0.039,NA,NA,0,"WILLAMETTE NATIONAL FOREST",NA,"FNAOBPT00575244491756081263879004958",NA,NA,"00000575244491756081263879004958",3.527e-08,0.00069285343
"52","NRM","NRM52","carcass",2008-10-01,2008,"2000s",44.47856654,-121.1179863,NA,607,4329740,"North American Porcupine","Erethizon dorsatum","Species","Mammals",1,"Single",NA,NA,"Unknown","10/1/2008","N","Day",NA,NA,"Found Dead","The animal detected was found dead.","RHOADES, JODIE (Experienced)","Forest Service",0,NA,NA,"Drink Basin #61",0,NA,NA,NA,NA,NA,NA,NA,NA,"9/8/2010",18991230,"WL","Point",0,180393,0.077,0.039,NA,NA,0,"OCHOCO NATIONAL FOREST",NA,"fcce9025-c314-4d44-a1d7-de504ab071ae",NA,"e9a1f14b-243e-421c-b904-814e0748e482","a18fd7ce-5299-4e0a-a2ad-5a255e20e930",3.531e-08,0.00069338994
